timestamp,bake_tezos__reward,adjustedReward,delegate_tezos__reward,delegateadjustedReward,total_staked,priceUsd,marketcapUsd
1620016858,6.107242,1.356526,5.490349,0.739633,78.02662,5.72,4389385926
1620009660,6.106715,1.356359,5.489875,0.73952,78.027448,5.73,4400102633
1620002468,6.105581,1.356115,5.488856,0.73939,78.027375,5.68,4359701665
1619995261,6.103874,1.355633,5.487321,0.73908,78.029127,5.56,4273085892
1619988064,6.102182,1.355155,5.4858,0.738773,78.030875,5.65,4343857053
1619980866,6.10037,1.354485,5.484171,0.738286,78.035327,5.65,4343556054
1619973663,6.098828,1.353987,5.482785,0.737943,78.037954,5.58,4287056723
1619966464,6.095534,1.353047,5.479823,0.737337,78.041495,5.58,4289379391
1619959256,6.083309,1.350426,5.468834,0.73595,78.040464,5.63,4312756476
1619952065,6.108673,1.358129,5.491636,0.741091,78.005547,5.61,4308334550
1619944855,6.108634,1.358016,5.491601,0.740982,78.007253,5.51,4235053900
1619937658,6.108517,1.357775,5.491495,0.740753,78.01079,5.63,4323106840
1619930459,6.107851,1.35691,5.490896,0.739955,78.022553,5.59,4295826995
1619923260,6.107841,1.356674,5.490887,0.73972,78.026387,5.79,4455609805
1619916059,6.10813,1.356761,5.491147,0.739778,78.026003,5.77,4449448945
1619908862,6.108661,1.356884,5.491625,0.739848,78.025898,5.74,4401630055
1619901665,6.108794,1.35676,5.491744,0.73971,78.028411,5.84,4482362415
1619894466,6.108194,1.356298,5.491205,0.739309,78.033813,5.75,4400053732
1619887262,6.108395,1.356128,5.491385,0.739118,78.037328,5.68,4365151628
1619880066,6.108778,1.356331,5.49173,0.739283,78.035373,5.66,4341803880
1619872862,6.108386,1.355862,5.491377,0.738853,78.041656,5.68,4363926219
1619865663,6.108507,1.355784,5.491486,0.738763,78.043365,5.59,4286384997
1619858453,6.109638,1.356654,5.492502,0.739519,78.033193,5.6,4310425810
1619851260,6.109705,1.356619,5.492563,0.739477,78.034014,5.66,4349029905
1619844059,6.110605,1.357549,5.493372,0.740316,78.022034,5.67,4379584895
1619836859,6.110604,1.357442,5.493371,0.74021,78.02377,5.68,4364561237
1619829662,6.110217,1.35725,5.493023,0.740057,78.025521,5.63,4329423553
1619822464,6.097846,1.344779,5.481902,0.728834,78.04096,5.57,4285755910
1619815265,6.098143,1.344794,5.482169,0.72882,78.041771,5.57,4271959720
1619808090,6.098837,1.344953,5.479805,0.725922,78.04166,5.58,4277543617
1619800870,6.1214,1.367386,5.500078,0.746064,77.756143,5.62,4311025281
1619793677,6.11156,1.35693,5.491237,0.736606,77.891415,5.65,4330904253
1619786461,6.111084,1.356439,5.490809,0.736164,77.897725,5.52,4236560435
1619779258,6.111474,1.356308,5.49116,0.735994,77.901275,5.42,4170690936
1619772056,6.111382,1.356405,5.491076,0.736099,77.899364,5.41,4149568245
1619764857,6.111224,1.356543,5.490935,0.736253,77.896538,5.35,4104775250
1619757660,6.110872,1.356581,5.490618,0.736328,77.894634,5.31,4085904780
1619750456,6.112104,1.357921,5.491725,0.737543,77.877167,5.25,4039570974
1619743261,6.11045,1.356443,5.49024,0.736232,77.89538,5.19,3987116551
1619736059,6.109747,1.356013,5.489608,0.735874,77.899861,5.22,4007937283
1619728867,6.109363,1.356102,5.489262,0.736001,77.897026,5.2,3983307343
1619721775,6.110137,1.355944,5.489958,0.735766,77.902402,5.17,3959520209
1619714462,6.109554,1.355543,5.489434,0.735423,77.906869,5.29,4070368403
1619707259,6.090123,1.351255,5.471976,0.733108,77.906782,5.31,4090469025
1619700059,6.11362,1.359588,5.493088,0.739055,77.855405,5.39,4131285775
1619692855,6.113101,1.358976,5.492621,0.738496,77.863535,5.37,4121079564
1619685659,6.112844,1.358645,5.492391,0.738191,77.868015,5.29,4045352723
1619678456,6.112717,1.358455,5.492276,0.738014,77.870661,5.3,4055982814
1619671255,6.112807,1.358481,5.492357,0.738031,77.870564,5.18,3981311864
1619664059,6.110887,1.356497,5.490632,0.736242,77.896083,5.26,4017425932
